"","Name","Age_in_months","No_of_Measles_Titer","No_of_Pertussis_Titer","No_of_Polio_IgG_Titer","No_of_Polio_Serotype1_Titer","No_of_Polio_Serotype2_Titer","No_of_Polio_Serotype3_Titer","No_of_Rotavirus_IgG_Titer","No_of_Rotavirus_IgA_Titer","No_of_Tetanus_Titer"
"1","Bangladesh",7,210,210,210,210,210,210,209,207,210
"2","Bangladesh",15,195,195,195,195,195,195,194,194,195
"3","Brazil",7,158,158,158,157,157,157,158,157,158
"4","Brazil",15,205,205,205,205,205,205,205,205,205
"5","India",7,233,233,232,233,233,233,233,233,233
"6","India",15,227,227,227,227,227,227,227,227,227
"7","Nepal",7,221,221,221,221,221,221,220,221,221
"8","Nepal",15,223,223,223,223,223,223,223,221,223
"9","Pakistan",7,258,258,257,258,258,258,258,258,258
"10","Pakistan",15,246,245,243,246,246,246,246,246,246
"11","Peru",7,256,256,256,252,252,252,251,242,256
"12","Peru",15,178,178,178,176,176,176,178,176,178
"13","South Africa",7,223,223,223,220,220,220,221,222,223
"14","South Africa",15,228,228,228,228,228,228,226,227,228
"15","Tanzania",7,151,151,151,147,147,147,147,136,151
"16","Tanzania",15,143,143,142,135,135,135,140,136,143
